Time;CLK12;CKE;CKQ;ADDR;DATA;RWb;IOCS;DTAC;AS
-0,00049624;1;0;0;h81B0;hFF;1;1;1;1
-0,00049623;1;0;0;h81B0;hFF;1;1;1;1
-0,00049622;0;0;0;h81B0;hFF;1;1;1;1
-0,00049621;0;0;0;h81B0;hFF;1;1;1;1
-0,0004962;0;0;0;h81B0;hFF;1;1;1;1
-0,00049619;0;0;1;h81B0;hFF;1;1;1;1
-0,00049618;1;0;1;h81B0;hFF;1;1;1;1
-0,00049617;1;0;1;h81B0;hFF;1;1;1;1
-0,00049616;1;0;1;h81B0;hFF;1;1;1;1
-0,00049615;1;0;1;h81B0;hFF;1;1;1;1
-0,0004961399999999999;0;0;1;h81B0;hFF;1;1;1;1
-0,00049613;0;0;1;h81B0;hFF;1;1;1;1
-0,00049612;0;0;1;h81B0;hFF;1;1;1;1
-0,00049611;0;1;1;h81B0;hFF;1;1;1;1
-0,0004961;1;1;1;h81B0;hFF;1;1;1;1
-0,00049609;1;1;1;h81B0;hFF;1;1;1;1
-0,00049608;1;1;1;h81B0;hFF;1;1;1;1
-0,00049607;0;1;1;h81B0;hFF;1;1;1;1
-0,00049606;0;1;1;h81B0;hFF;1;1;1;1
-0,00049605;0;1;1;h81B0;hFF;1;1;1;1
-0,00049604;0;1;1;h81A0;hFF;1;1;1;1
-0,00049603;0;1;0;h81A9;hFF;1;1;1;1
-0,00049602;1;1;0;h81A9;hFF;1;1;1;1
-0,00049601;1;1;0;h81A9;hFF;1;1;1;1
-0,000496;1;1;0;h81A9;hFF;1;1;1;1
-0,00049599;0;1;0;h81A9;hFF;1;1;1;0
-0,00049598;0;1;0;h81A9;hFF;1;1;1;0
-0,00049597;0;1;0;h81A9;hFF;1;1;1;0
-0,00049596;0;1;0;h81A9;h43;1;1;1;0
-0,00049595;0;0;0;h81A9;h43;1;1;1;0
-0,0004959400000000001;1;0;0;h81A9;h43;1;1;1;0
-0,00049593;1;0;0;h81A9;h43;1;1;1;0
-0,00049592;1;0;0;h81A9;h43;1;1;1;0
-0,00049591;0;0;0;h81A9;h43;1;1;1;0
-0,0004959;0;0;0;h81A9;h43;1;1;1;0
-0,00049589;0;0;0;h81A9;h43;1;1;1;0
-0,00049588;0;0;0;h81A9;h43;1;1;1;0
-0,00049587;0;0;1;h81A9;h43;1;1;1;0
-0,00049586;1;0;1;h81A9;h43;1;1;0;0
-0,00049585;1;0;1;h81A9;h43;1;1;0;0
-0,00049584;1;0;1;h81A9;h43;1;1;0;0
-0,0004958299999999999;0;0;1;h81A9;h43;1;1;0;0
-0,00049582;0;0;1;h81A9;h43;1;1;0;0
-0,00049581;0;0;1;h81A9;h43;1;1;0;0
-0,0004958;0;0;1;h81A9;h43;1;1;0;0
-0,00049579;0;1;1;h81A9;h43;1;1;0;0
-0,00049578;1;1;1;h81A9;h43;1;1;0;0
-0,00049577;1;1;1;h81A9;h43;1;1;0;0
-0,00049576;1;1;1;h81A9;h43;1;1;0;0
-0,00049575;0;1;1;h81A9;h43;1;1;0;0
-0,00049574;0;1;1;h81A9;h43;1;1;0;0
-0,00049573;0;1;1;h81A9;h43;1;1;0;0
-0,0004957199999999999;0;1;1;h81A9;h43;1;1;0;0
-0,00049571;1;1;0;h81A9;h43;1;1;0;0
-0,0004957;1;1;0;h81A9;h43;1;1;0;0
-0,00049569;1;1;0;h81A9;h43;1;1;0;0
-0,00049568;1;1;0;h81A9;h43;1;1;0;0
-0,00049567;0;1;0;h81A9;h43;1;1;0;1
-0,00049566;0;1;0;h81A9;h43;1;1;1;1
-0,00049565;0;1;0;h81A9;h43;1;1;1;1
-0,00049564;0;1;0;h81A8;hFF;1;1;1;1
-0,0004956300000000001;1;0;0;h81AA;hFF;1;1;1;1
-0,00049562;1;0;0;h81AA;hFF;1;1;1;1
-0,00049561;1;0;0;h81AA;hFF;1;1;1;1
-0,0004956;1;0;0;h81AA;hFF;1;1;1;1
-0,00049559;0;0;0;h81AA;hFF;1;1;1;0
-0,00049558;0;0;0;h81AA;hFF;1;1;1;0
-0,00049557;0;0;0;h81AA;hFF;1;1;1;0
-0,00049556;0;0;0;h81AA;h07;1;1;1;0
-0,00049555;1;0;1;h81AA;h07;1;1;1;0
-0,00049554;1;0;1;h81AA;h07;1;1;1;0
-0,00049553;1;0;1;h81AA;h07;1;1;1;0
-0,0004955200000000001;1;0;1;h81AA;h07;1;1;1;0
-0,00049551;0;0;1;h81AA;h07;1;1;1;0
-0,0004955;0;0;1;h81AA;h07;1;1;1;0
-0,00049549;0;0;1;h81AA;h07;1;1;1;0
-0,00049548;0;0;1;h81AA;h07;1;1;1;0
-0,00049547;1;1;1;h81AA;h07;1;1;1;0
-0,00049546;1;1;1;h81AA;h07;1;1;0;0
-0,00049545;1;1;1;h81AA;h07;1;1;0;0
-0,00049544;1;1;1;h81AA;h07;1;1;0;0
-0,00049543;0;1;1;h81AA;h07;1;1;0;0
-0,00049542;0;1;1;h81AA;h07;1;1;0;0
-0,0004954099999999999;0;1;1;h81AA;h07;1;1;0;0
-0,0004954;0;1;1;h81AA;h07;1;1;0;0
-0,00049539;1;1;0;h81AA;h07;1;1;0;0
-0,00049538;1;1;0;h81AA;h07;1;1;0;0
-0,00049537;1;1;0;h81AA;h07;1;1;0;0
-0,00049536;1;1;0;h81AA;h07;1;1;0;0
-0,00049535;0;1;0;h81AA;h07;1;1;0;0
-0,00049534;0;1;0;h81AA;h07;1;1;0;0
-0,00049533;0;1;0;h81AA;h07;1;1;0;0
-0,00049532;0;1;0;h81AA;h07;1;1;0;0
-0,00049531;1;0;0;h81AA;h07;1;1;0;0
-0,0004953;1;0;0;h81AA;h07;1;1;0;0
-0,00049529;1;0;0;h81AA;h07;1;1;0;0
-0,00049528;1;0;0;h81AA;h07;1;1;0;1
-0,00049527;0;0;0;h81AA;h07;1;1;0;1
-0,00049526;0;0;0;h81AA;h07;1;1;1;1
-0,00049525;0;0;0;h81AA;h0F;1;1;1;1
-0,00049524;0;0;0;h81AB;hFF;1;1;1;1
-0,00049523;1;0;1;h81AB;hFF;1;1;1;1
-0,00049522;1;0;1;h81AB;hFF;1;1;1;1
-0,0004952100000000001;1;0;1;h81AB;hFF;1;1;1;1
-0,0004952;1;0;1;h81AB;hFF;1;1;1;1
-0,00049519;0;0;1;h81AB;hFF;1;1;1;0
-0,00049518;0;0;1;h81AB;hFF;1;1;1;0
-0,00049517;0;0;1;h81AB;h1E;1;1;1;0
-0,00049516;0;1;1;h81AB;h1E;1;1;1;0
-0,00049515;1;1;1;h81AB;h1E;1;1;1;0
-0,00049514;1;1;1;h81AB;h1E;1;1;1;0
-0,00049513;1;1;1;h81AB;h1E;1;1;1;0
-0,00049512;1;1;1;h81AB;h1E;1;1;1;0
-0,00049511;0;1;1;h81AB;h1E;1;1;1;0
-0,0004951000000000001;0;1;1;h81AB;h1E;1;1;1;0
-0,00049509;0;1;1;h81AB;h1E;1;1;1;0
-0,00049508;0;1;0;h81AB;h1E;1;1;1;0
-0,00049507;1;1;0;h81AB;h1E;1;1;1;0
-0,00049506;1;1;0;h81AB;h1E;1;1;0;0
-0,00049505;1;1;0;h81AB;h1E;1;1;0;0
-0,00049504;1;1;0;h81AB;h1E;1;1;0;0
-0,00049503;0;1;0;h81AB;h1E;1;1;0;0
-0,00049502;0;1;0;h81AB;h1E;1;1;0;0
-0,00049501;0;1;0;h81AB;h1E;1;1;0;0
-0,000495;0;0;0;h81AB;h1E;1;1;0;0
-0,0004949899999999999;1;0;0;h81AB;h1E;1;1;0;0
-0,00049498;1;0;0;h81AB;h1E;1;1;0;0
-0,00049497;1;0;0;h81AB;h1E;1;1;0;0
-0,00049496;1;0;0;h81AB;h1E;1;1;0;0
